956,NHN I&S,경기 성남시 분당구 서현동 263번지 분당스퀘어 16층,시스템 소프트웨어 개발 및 공급업,2700,-,경기
957,쎌바이오텍,경기 김포시 월곶면 개곡리 134,액상시유 및 기타 낙농제품 제조업,2700,-,경기
958,에스코넥,경기 광주시 오포읍 양벌리 487-7,이동전화기 제조업,2700,-,경기
972,이노시티,경기 화성시 향남읍 요리 26-1,반도체 제조용 기계 제조업,2607,-,경기
312,현대로템,경남 창원시 의창구 대원동 85,기관차 및 기타 철도차량 제조업,3750,-,경남
399,포스코특수강,경남 창원시 성산구 적현동,철강선 제조업,3600,-,경남
407,한국전기연구원,경남 창원시 성산구 성주동,전기·전자공학 연구개발업,3575,-,경남
355,포스코강판,경북 포항시 남구 장흥동 470,도금 착색 및 기타 표면처리강재 제조업,3650,-,경북
359,동부특수강,경북 포항시 남구 괴동동,금속·철강·요업,3640,-,경북
398,도레이첨단소재,경북 구미시 임수동 93-1,플라스틱 필름 시트 및 판 제조업,3600,-,경북
397,서암기계공업,광주 광산구 안청동 738-5,기어 및 동력전달장치 제조업,3600,-,광주
115,대국경북과학기술원,대구광역시 달성군 현풍면 상리 50-1,-,4056,-,대구
206,한국한의학연구언,대전 유성구 전민동 461-24,연구소·컨설팅,3936,-,대전
315,한국과학기술원,대전광역시 유성구 과학로 335,-,3715,-,대전
546,한국전자통신연구원,대전시 유성구 가정로 218,전기·전자공학 연구개발업,3329,-,대전
604,한국기초과학지원연구원,대전 유성구 어은동,물리 화학 및 생물학 연구개발업,3284,-,대전
725,한국철도시설공단,대전 동구 신안동,철도시설의 건설 및 관리,3089,-,대전
739,한국조폐공사,대전 유성구 가정동 35,기타 인쇄물 출판업,3047,-,대전
839,한전원자력연료,대전 유성구 덕진동 493,기타 기초무기화학물질 제조업,2862,-,대전
002,현대모비스,서울 강남구 역삼1동 679-4 서울인터내셔널타워 23층,그외 기타 자동차 부품 제조업,5900,-,서울
022,SK플래닛,서울 중구 을지로2가,-,5000,-,서울
037,현대종합상사,서울 종로구 계동 140-2 현대빌딩 11층,상품 종합 도매업,4600,-,서울
042,한국세라믹기술원,서울 금천구 가산동 233-5 요업기술원 창업보육센터,공학 및 기술 연구 개발업,4506,-,서울
051,한화건설,서울 중구 장교동,도로 건설업,4500,-,서울
065,두산정보통신,서울 종로구 연지동,-,4350,-,서울
066,한국정책금융공사,서울특별시 영등포구 여의도동 16,-,4310,-,서울
072,예금보험공사,서울 중구 다동 33,기타 보험 및 연금관련 서비스업,4278,-,서울
077,한국에너지기술평가원,서울 강남구 테헤란로 114길 14,-,4201,-,서울
093,우리은행,서울 중구 회현동1가 203,국내은행,4200,-,서울
094,삼성생명,서울 중구 태평로2가,생명 보험업,4200,-,서울
096,한국수출은행,서울 영등포구 여의도동 16-1,수출지원 금융 해외투자 금융 수입 금융 등,4156,-,서울
122,동양증권,서울 중구 을지로2가 185,증권 중개업,4050,-,서울
229,삼성카드,서울 중구 태평로2가 250 삼성본관빌딩 26층,신용카드 및 할부금융업,3900,-,서울
230,유풍,서울 구로구 구로본동 416-1,모자 제조업,3890,-,서울
241,한국예탁결제원,서울 영등포구 여의도동 34-6,유가증권 관리 및 보관업,3830,-,서울
244,한국무역보험공사,서울 종로구 서린동 136 서울센트럴빌딩,금융 보험업,3813,-,서울
298,한국필립모리스,서울 중구 태평로1가 84 파이낸스빌딩 24층,담배제품 제조업,3800,-,서울
299,휴켐스,서울 중구 충무로3가 60-1 극동빌딩 19층,그외 기타 분류안된 화학제품 제조업,3800,-,서울
300,한화호텔앤드리조트,서울 중구 장교동 1 한화빌딩 8층,휴양콘도 운영업,3800,-,서울
314,한진정보통신,서울 강서구 등촌1동 653-25 대한항공인력개발센터 5층,시스템 소프트웨어 개발 및 공급업,3730,-,서울
348,싸이버로지텍,서울 마포구 상암동 1605 누리꿈스퀘어연구개발타워 16층,시스템 소프트웨어 개발 및 공급업,3680,-,서울
350,무림페이퍼,서울 강남구 신사동 505번지,인쇄용 및 필기용 원지 제조업,3670,-,서울
413,아스공항,서울 강서구 공항동 1373,기타 항공 운송지원 서비스업,3550,-,서울
418,신용보증기금,서울 마포구 공덕2동 254-5,보증 보험업,3504,-,서울
476,코스테크,서울 서초구 양재동,컴퓨터 및 주변장치 소프트웨어 도매업,3489,-,서울
478,한국장학재단,서울시 중구 남대문로5가 84-11 연세세브란스빌딩 19층,공기업 및 준정부기관,3485,-,서울
528,매일유업,서울 종로구 운니동 98-5 삼환빌딩,액상시유 및 기타 낙농제품 제조업,3398,-,서울
534,대우정보시스템,서울 종로구 관철동 10-2 삼일빌딩,컴퓨터시스템 통합 자문 및 구축 서비스업,3370,-,서울
547,국민체육진흥공단,서울특별시 노원구 공릉동 산223-19,체육공원 및 유사 공원 운영업,3328,-,서울
553,한양,서울 송파구 신천동,아파트건설업,3302,-,서울
610,산업기술연구회,서울 서초구 서초2동 1376-1 외교센터 306호,-,3267,-,서울
611,사립학교교직원연금관리공단,서울시 영등포구 여의도동 27-2 사학연금회관,-,3266,-,서울
627,한국특허정보원,서울 강남구 역삼동,공공기관·협회,3244,-,서울
631,한국과학창의재단,서울 강남구 삼성2동,그외 기타 협회 및 단체,3239,-,서울
678,한국소비자원,서울 서초구 염곡동 300-4,-,3154,-,서울
685,한국폴리텍대학,서울 마포구 공덕동,직업교육훈련기관,3149,-,서울
687,대한장애인체육회,서울 송파구 방이동,공기업·공공기관·협회,3131,-,서울
726,한국문화관광연구원,서울 강서구 방화동,컨설팅·연구·조사,3082,-,서울
740,한국해양과학기술진흥원,서울 서초구 양재동 (논현로 87) 삼호물산빌딩 제B동 4층,정부·공공기관·공기업,3044,-,서울
745,한국문화예술위원회,서울 구로구 구로동 26-1번지,그외 기타 협회 및 단체,3016,-,서울
803,대한지적공사,서울 영등포구 여의도동 45,측량업,2995,-,서울
855,한길아이티,서울 구로구 구로3동 235-2 에이스하이엔드타워 601호 602호,시스템 소프트웨어 개발 및 공급업,2826,-,서울
859,대한법률구조공단,서울 서초구 법원4길 17 대한법률구조공단빌딩,공사/공기업,2815,-,서울
892,금화피에스시,서울 강남구 역삼1동 643-11 금화빌딩,철골 공사업,2780,-,서울
905,한국출판문화산업진흥원,서울 강서구 방화3동 827번지 국립국어원 4층,정부·공공기관,2732,-,서울
914,한국임업진흥원,서울 마포구 상암동 DMC 이안 상암2단지 한솔교육빌딩 12층,정부·공공기관,2709,-,서울
969,해양환경관리공단,서울시 강남구 삼성동 71번지 해공빌딩,공사/공기업,2627,-,서울
971,노사발전재단 전직지원센터,서울 마포구 공덕동 254-8 별정우체국연금관리단빌딩 6층,그외 기타 협회 및 단체,2609,-,서울
297,LS니꼬동제련,울산 울주군 온산읍 대정리 70,동 제련 정련 및 합금 제조업,3800,-,울산
303,울산항만공사,울산 남구 장생포동,-,3764,-,울산
349,무림피앤피,울산 울주군 온산읍 당월리 1,펄프 제조업,3670,-,울산
062,만도헬라일렉트로닉스,인천 연수구 송도동 10-42 만도헬라일렉트로닉스,자동차 전자부품 제조 및 판매,4400,-,인천
192,현대제철,인천 동구 송현3동 1 현대제철,제철업,4000,-,인천
193,V-ENS,인천 계양구 효성2동 236-1 엘지씨엔에스정보기술센터 3층,기타 엔지니어링 서비스업,4000,-,인천
228,동서식품,인천 부평구 청천2동 411-1,기타 비알콜음료 제조업,3900,-,인천
689,인천항만공사,인천광역시 중구 신흥동 3가 7-241 정석빌딩 신관,항구 및 기타 해상 터미널 운영업,3102,-,인천
805,안전보건공단,인천광역시 부평구 기능대학길 25(구산동 34-4),공사 공기업,2979,-,인천
838,선박안전기술공단,인천시 연수구 송도동 7-50번지 갯벌타워 121314층,공사/공기업,2876,-,인천
191,조선내화,전남 광양시 태인동 1657-9,구조용 정형내화제품 제조업,4000,-,전남
050,중부도시가스,충남 아산시 음봉면 산동리 420-12,가스 제조 및 배관공급업,4500,-,충남
092,현대파워텍,충남 서산시 지곡면 화천리 222,자동차용 동력전달장치 제조업,4200,-,충남
112,한국내화,충남 당진군 송산면 가곡리 386-14,구조용 정형내화제품 제조업,4100,-,충남
188,위니아만도,충남 아산시 탕정면 매곡리 121,기타 가정용 전기기기 제조업,4000,-,충남
189,삼성토탈,충남 서산시 대산읍 독곶리 411-1,석유화학계 기초화학물질 제조업,4000,-,충남
190,희성피엠텍,충남 당진군 송악읍 부곡리 563-18,기타 비철금속 제련 정련 및 합금 제조업,4000,-,충남
243,세메스,충남 천안시 서북구 직산읍 모시리 278,반도체 제조용 기계 제조업,3814,-,충남
295,현대약품,충남 천안시 동남구 풍세면 남관리 200,의약용 화합물 및 항생물질 제조업,3800,-,충남
296,씨텍,충남 서산시 대산읍 대죽리 679,화력 발전업,3800,-,충남
895,에스에이씨,충남 아산시 인주면 걸매리 1036번지,산업용 오븐 노 및 노용 버너 제조업,2774,-,충남
903,우남건설,충남 천안시 서북구 두정동 1434 우남빌딩,아파트 건설업,2740,-,충남
227,콘티넨탈오토모티브일렉트로닉스,충북 청원군 부용면 금호리 249,자동차용 전기장치 제조업,3900,-,충북
293,매그나칩반도체,충북 청주시 흥덕구 향정동 1 매그나칩반도체,전기·전자·반도체,3800,-,충북
294,BR코리아,충북 음성군 삼성면 용성리 34-12,아이스크림 및 기타 식용빙과류 제조업,3800,-,충북
847,한국보건복지인력개발원,충북 청원군 오송읍 오송생명2로 187 오송보건의료행정타운,직원훈련기관,2846,-,충북
128,삼성비피화학,울산 울주군 청량면 상남리 2-2,기타 기초유기화학물질 제조업,4000,95794,울산
001,현대자동차,서울 서초구 양재2동 231,승용차 및 기타 여객용 자동차 제조업,5900,63099,서울
129,파라다이스카지노,서울특별시 중구 장충동 2가 186-210,기타 갬블링 및 베팅업,4000,38363,서울
053,한화/무역,서울 중구 장교동,무역·상사,4400,33643,서울
003,기아자동차,서울 서초구 양재2동 231,승용차 및 기타 여객용 자동차 제조업,5800,33576,서울
199,현대라이프,서울 영등포구 여의도동 25-12 현대라이프,-,3950,32451,서울
013,현대중공업,울산 동구 전하1동 1,기타 선박 건조업,5200,27246,울산
130,삼성에버랜드,서울 중구 태평로2가 250 삼성본관빌딩,유원지 및 테마파크 운영업,4000,26943,서울
078,한화케미칼,서울 중구 장교동 1 한화빌딩 17층,석유화학계 기초화학물질 제조업,4200,21693,서울
131,신세계건설,서울 중구 장충동1가 56-85,사무 및 상업용 건물 건설업,4000,20756,서울
554,원익머트리얼즈,충북 청원군 오창읍 각리 654-3 오창과학산업단지,석유·화학·에너지,3300,20479,충북
813,한국전력공사,서울 강남구 삼성1동 167 한국전력빌딩,송전 및 배전업,2959,20000,서울
419,경신전선,충남 천안시 서북구 입장면,기타 절연선 및 케이블 제조업,3500,20000,충남
073,호텔롯데,서울 중구 소공동 1,호텔업,4250,17832,서울
132,한화S&C,서울 중구 장교동 1 한화빌딩 20층,시스템 소프트웨어 개발 및 공급업,4000,17694,서울
362,세크론,충남 천안시 서북구 차암동 4-4,반도체 제조용 기계 제조업,3600,17147,충남
492,갑을오토텍,충남 아산시 탕정면 매곡리 121-2,그외 기타 자동차 부품 제조업,3400,15510,충남
079,KB국민은행,서울 중구 남대문로2가 9-1 국민은행본점빌딩,국내은행,4200,15437,서울
014,신한은행,서울 중구 태평로2가 120,국내은행,5200,14638,서울
007,삼성중공업,서울 서초구 서초2동 1321-15 삼성생명 서초타워 35층,강선 건조업,5400,13546,서울
006,대우조선해양,서울 중구 다동 85,강선 건조업,5400,13298,서울
133,미래에셋증권,서울 중구 수하동 67번지 미래에셋센터원빌딩,증권 중개업,4000,12617,서울
748,나노신소재,충북 청원군 부용면 금호리 244 부용지방산업단지,그외 기타 분류안된 화학제품 제조업,3000,12470,충북
116,신영증권,서울 영등포구 여의도동 34-8,증권 중개업,4050,12440,서울
080,SK건설,서울 종로구 관훈동 192-18,기타 토목시설물 건설업,4200,9946,서울
533,한국수력원자력,서울 강남구 삼성1동,수력 발전업,3376,9331,서울
690,심텍,충북 청주시 흥덕구 송정동 70-5,전자집적회로 제조업,3100,9266,충북
134,한국미쓰비시상사,서울 중구 소공동 1 롯데쇼핑센타빌딩 23층,상품 종합 도매업,4000,9013,서울
135,롯데백화점,서울 중구 소공동 1,백화점,4000,8500,서울
030,두산모트롤,경남 창원시 성산구 내동,금속/철강/요업,4650,8428,경남
749,엠이엠씨코리아,충남 천안시 서북구 성거읍 오목리 27,다이오드 트랜지스터 및 유사 반도체소자 제조업,3000,7900,충남
015,SK플래닛,서울 중구 을지로2가,-,5000,7468,서울
076,삼성엔지니어링,서울 강남구 도곡2동 467-14 삼성SEI타워 1층,산업플랜트 건설업,4230,7135,서울
123,LG CNS,서울 중구 회현동2가 10-1 프라임타워,컴퓨터시스템 통합 자문 및 구축 서비스업,4040,6911,서울
246,드림파마,서울 중구 장교동 1 한화빌딩 13층,완제 의약품 제조업,3800,6857,서울
081,삼천리,서울 영등포구 여의도동 35-6,가스 제조 및 배관공급업,4200,6815,서울
101,LG유플러스,서울 중구 남대문로5가 827 엘지유플러스타워,무선통신업,4120,6780,서울
054,SK텔레콤,서울 중구 을지로2가 11,무선통신업,4400,6382,서울
082,수산업협동조합중앙회,서울 송파구 신천동 11-6,국내은행,4200,6160,서울
055,삼성화재해상보험,서울 중구 을지로1가,증권·보험·카드,4400,5808,서울
029,두산인프라코어,인천 동구 화수동 7-11,토목공사 및 유사용 기계장비 제조업,4750,5554,인천
010,대림산업,서울 종로구 수송동 146-12 대림빌딩,산업플랜트 건설업,5360,5456,서울
